"ID_COMMUNE","CODE_COMMUNE","NOM","CODE_POSTAL","PAYS"
1,"1001","L'Abergement-Clémenciat","1400",1
2,"1002","L'Abergement-de-Varey","1640",1
3,"1004","Ambérieu-en-Bugey","1500",1
4,"1005","Ambérieux-en-Dombes","1330",1
5,"1006","Ambléon","1300",1
6,"1007","Ambronay","1500",1
7,"1008","Ambutrix","1500",1
8,"1009","Andert-et-Condon","1300",1
9,"1010","Anglefort","1350",1
10,"1011","Apremont","1100",1
11,"1012","Aranc","1110",1
12,"1013","Arandas","1230",1
13,"1014","Arbent","1100",1
14,"1015","Arboys en Bugey","1300",1
15,"1016","Arbigny","1190",1
16,"1017","Argis","1230",1
17,"1019","Armix","1510",1
18,"1021","Ars-sur-Formans","1480",1
19,"1022","Artemare","1510",1
20,"1023","Asnières-sur-Saône","1570",1
21,"1024","Attignat","1340",1
22,"1025","Bâgé-Dommartin","1380",1
23,"1026","Bâgé-le-Châtel","1380",1
24,"1027","Balan","1360",1
25,"1028","Baneins","1990",1
26,"1029","Beaupont","1270",1
27,"1030","Beauregard","1480",1
28,"1031","Bellignat","1100",1
29,"1032","Béligneux","1360",1
30,"1033","Bellegarde-sur-Valserine","1200",1
31,"1034","Belley","1300",1
32,"1035","Belleydoux","1130",1
33,"1036","Belmont-Luthézieu","1260",1
34,"1037","Bénonces","1470",1
35,"1038","Bény","1370",1
36,"1039","Béon","1350",1
37,"1040","Béréziat","1340",1
38,"1041","Bettant","1500",1
39,"1042","Bey","1290",1
40,"1043","Beynost","1700",1
41,"1044","Billiat","1200",1
42,"1045","Birieux","1330",1
43,"1046","Biziat","1290",1
44,"1047","Blyes","1150",1
45,"1049","La Boisse","1120",1
46,"1050","Boissey","1190",1
47,"1050","Boissey","1380",1
48,"1051","Bolozon","1450",1
49,"1052","Bouligneux","1330",1
50,"1053","Bourg-en-Bresse","1000",1
51,"1054","Bourg-Saint-Christophe","1800",1
52,"1056","Boyeux-Saint-Jérôme","1640",1
53,"1057","Boz","1190",1
54,"1058","Brégnier-Cordon","1300",1
55,"1059","Brénaz","1260",1
56,"1060","Brénod","1110",1
57,"1061","Brens","1300",1
58,"1062","Bressolles","1360",1
59,"1063","Brion","1460",1
60,"1064","Briord","1470",1
61,"1065","Buellas","1310",1
62,"1066","La Burbanche","1510",1
63,"1067","Ceignes","1430",1
64,"1068","Cerdon","1450",1
65,"1069","Certines","1240",1
66,"1071","Cessy","1170",1
67,"1072","Ceyzériat","1250",1
68,"1073","Ceyzérieu","1350",1
69,"1074","Chalamont","1320",1
70,"1075","Chaleins","1480",1
71,"1076","Chaley","1230",1
72,"1077","Challes-la-Montagne","1450",1
73,"1078","Challex","1630",1
74,"1079","Champagne-en-Valromey","1260",1
75,"1080","Champdor-Corcelles","1110",1
76,"1081","Champfromier","1410",1
77,"1082","Chanay","1420",1
78,"1083","Chaneins","1990",1
79,"1084","Chanoz-Châtenay","1400",1
80,"1085","La Chapelle-du-Châtelard","1240",1
81,"1087","Charix","1130",1
82,"1088","Charnoz-sur-Ain","1800",1
83,"1089","Château-Gaillard","1500",1
84,"1090","Châtenay","1320",1
85,"1091","Châtillon-en-Michaille","1200",1
86,"1092","Châtillon-la-Palud","1320",1
87,"1093","Châtillon-sur-Chalaronne","1400",1
88,"1094","Chavannes-sur-Reyssouze","1190",1
89,"1095","Nivigne et Suran","1250",1
90,"1096","Chaveyriat","1660",1
91,"1097","Chavornay","1510",1
92,"1098","Chazey-Bons","1300",1
93,"1099","Chazey-sur-Ain","1150",1
94,"1100","Cheignieu-la-Balme","1510",1
95,"1101","Chevillard","1430",1
96,"1102","Chevroux","1190",1
97,"1103","Chevry","1170",1
98,"1104","Chézery-Forens","1200",1
99,"1104","Chézery-Forens","1410",1
100,"1105","Civrieux","1390",1
101,"1106","Cize","1250",1
