ID_REGLEMENT;TOTAL;TVA;RESERVATION
1242;65;0.1;2085
1243;220;0.1;2086
1244;225;0.1;2087
1245;250;0.1;2091
1246;65;0.1;2092
1247;330;0.1;2093
1248;225;0.1;2094
1249;110;0.1;2097
1250;65;0.1;2098
1251;150;0.1;2100
1252;75;0.1;2102
1253;110;0.1;2103
1254;65;0.1;2104
1255;270;0.1;2107
1256;150;0.1;2108
1257;65;0.1;2110
1258;270;0.1;2111
1259;225;0.1;2112
1260;250;0.1;2114
1261;330;0.1;2115
1262;180;0.1;2117
1263;195;0.1;2118
1264;195;0.1;2119
1265;75;0.1;2121
1266;270;0.1;2122
1267;150;0.1;2123
1268;270;0.1;2124
1269;90;0.1;2125
1270;270;0.1;2126
1271;250;0.1;2127
1272;540;0.1;2128
1273;330;0.1;2133
1274;90;0.1;2134
1275;225;0.1;2135
1276;130;0.1;2136
1277;150;0.1;2138
1278;150;0.1;2139
1279;500;0.1;2141
1280;130;0.1;2142
1281;65;0.1;2143
1282;500;0.1;2144
1283;500;0.1;2145
1284;225;0.1;2147
1285;65;0.1;2149
1286;360;0.1;2151
1287;150;0.1;2152
1288;150;0.1;2154
1289;130;0.1;2156
1290;90;0.1;2158
1291;270;0.1;2162
1292;180;0.1;2163
1293;180;0.1;2166
1294;130;0.1;2167
1295;90;0.1;2170
1296;220;0.1;2172
1297;150;0.1;2175
1298;330;0.1;2176
1299;65;0.1;2177
1300;270;0.1;2179
1301;110;0.1;2180
1302;130;0.1;2181
1303;75;0.1;2183
1304;180;0.1;2186
1305;75;0.1;2188
1306;75;0.1;2189
1307;270;0.1;2193
1308;225;0.1;2194
1309;220;0.1;2195
1310;75;0.1;2196
1311;270;0.1;2197
1312;75;0.1;2198
1313;110;0.1;2199
1314;500;0.1;2201
1315;195;0.1;2206
1316;110;0.1;2208
1317;500;0.1;2209
1318;150;0.1;2210
1319;250;0.1;2212
1320;90;0.1;2214
1321;250;0.1;2215
1322;220;0.1;2218
1323;65;0.1;2219
1324;75;0.1;2222
1325;225;0.1;2223
1326;180;0.1;2224
1327;540;0.1;2225
1328;65;0.1;2226
1329;110;0.1;2227
1330;225;0.1;2229
1331;750;0.1;2230
1332;500;0.1;2232
1333;220;0.1;2234
1334;225;0.1;2236
1335;180;0.1;2238
1336;110;0.1;2239
1337;220;0.1;2240
1338;75;0.1;2243
1339;500;0.1;2244
1340;65;0.1;2247
1341;90;0.1;2250
1342;750;0.1;2251
1343;75;0.1;2252
1344;180;0.1;2254
1345;225;0.1;2256
1346;75;0.1;2264
1347;225;0.1;2265
1348;180;0.1;2266
1349;150;0.1;2267
1350;360;0.1;2268
1351;130;0.1;2272
1352;180;0.1;2274
1353;75;0.1;2275
1354;220;0.1;2276
1355;195;0.1;2277
1356;360;0.1;2280
1357;220;0.1;2281
1358;330;0.1;2285
1359;75;0.1;2286
1360;75;0.1;2289
1361;75;0.1;2292
1362;150;0.1;2293
1363;75;0.1;2294
1364;180;0.1;2296
1365;110;0.1;2297
1366;75;0.1;2298
1367;110;0.1;2299
1368;220;0.1;2301
1369;220;0.1;2302
1370;270;0.1;2303
1371;500;0.1;2304
1372;110;0.1;2307
1373;195;0.1;2308
1374;75;0.1;2309
1375;75;0.1;2310
1376;225;0.1;2312
1377;90;0.1;2314
1378;540;0.1;2315
1379;220;0.1;2316
1380;75;0.1;2317
1381;65;0.1;2319
1382;90;0.1;2320
1383;180;0.1;2324
1384;75;0.1;2325
1385;90;0.1;2327
1386;250;0.1;2328
1387;360;0.1;2329
1388;220;0.1;2330
1389;65;0.1;2331
1390;180;0.1;2334
1391;180;0.1;2335
1392;270;0.1;2336
1393;150;0.1;2337
1394;330;0.1;2340
1395;130;0.1;2341
1396;75;0.1;2342
1397;110;0.1;2343
1398;130;0.1;2344
1399;90;0.1;2346
1400;75;0.1;2347
1401;75;0.1;2348
1402;220;0.1;2350
1403;150;0.1;2352
1404;180;0.1;2353
1405;75;0.1;2355
1406;150;0.1;2357
1407;220;0.1;2358
1408;75;0.1;2359
1409;195;0.1;2360
1410;250;0.1;2365
1411;500;0.1;2371
1412;130;0.1;2374
1413;330;0.1;2379
1414;270;0.1;2381
1415;150;0.1;2382
1416;500;0.1;2383
1417;90;0.1;2385
1418;90;0.1;2388
1419;110;0.1;2389
1420;75;0.1;2392
1421;130;0.1;2395
1422;90;0.1;2396
1423;220;0.1;2397
1424;180;0.1;2398
1425;90;0.1;2399
1426;65;0.1;2406
1427;540;0.1;2407
1428;750;0.1;2408
1429;150;0.1;2409
1430;180;0.1;2410
1431;150;0.1;2411
1432;150;0.1;2414
1433;180;0.1;2418
1434;195;0.1;2419
1435;195;0.1;2420
1436;90;0.1;2421
1437;220;0.1;2422
1438;90;0.1;2424
1439;360;0.1;2425
1440;750;0.1;2426
1441;130;0.1;2427
1442;75;0.1;2431
1443;220;0.1;2432
1444;75;0.1;2434
1445;150;0.1;2435
1446;90;0.1;2436
1447;250;0.1;2437
1448;225;0.1;2438
1449;540;0.1;2439
1450;90;0.1;2441
1451;195;0.1;2443
1452;360;0.1;2444
1453;360;0.1;2445
1454;150;0.1;2447
1455;180;0.1;2451
1456;220;0.1;2452
1457;180;0.1;2453
1458;180;0.1;2454
1459;220;0.1;2455
1460;65;0.1;2457
1461;65;0.1;2458
1462;90;0.1;2459
1463;180;0.1;2461
1464;150;0.1;2462
1465;130;0.1;2463
1466;90;0.1;2465
1467;130;0.1;2466
1468;130;0.1;2467
1469;75;0.1;2470
1470;220;0.1;2471
1471;90;0.1;2472
1472;90;0.1;2474
1473;330;0.1;2475
1474;330;0.1;2478
1475;150;0.1;2479
1476;180;0.1;2480
1477;130;0.1;2481
1478;180;0.1;2482
1479;330;0.1;2483
1480;75;0.1;2484
1481;75;0.1;2485
1482;500;0.1;2487
1483;110;0.1;2488
1484;75;0.1;2493
1485;110;0.1;2495
1486;220;0.1;2496
1487;360;0.1;2497
1488;90;0.1;2498
1489;65;0.1;2499
1490;270;0.1;2501
1491;75;0.1;2502
1492;65;0.1;2503
1493;75;0.1;2504
1494;180;0.1;2506
1495;360;0.1;2507
1496;90;0.1;2509
1497;65;0.1;2511
1498;195;0.1;2512
1499;150;0.1;2513
1500;150;0.1;2514
1501;270;0.1;2515
1502;75;0.1;2516
1503;225;0.1;2518
1504;75;0.1;2520
1505;250;0.1;2521
1506;90;0.1;2522
1507;90;0.1;2523
1508;330;0.1;2524
1509;150;0.1;2525
1510;75;0.1;2527
1511;180;0.1;2528
1512;150;0.1;2529
1513;75;0.1;2530
1514;130;0.1;2532
1515;180;0.1;2534
1516;225;0.1;2536
1517;220;0.1;2537
1518;75;0.1;2539
1519;65;0.1;2541
1520;75;0.1;2542
1521;250;0.1;2543
1522;330;0.1;2545
1523;150;0.1;2546
1524;75;0.1;2548
1525;90;0.1;2549
1526;180;0.1;2551
1527;360;0.1;2553
1528;65;0.1;2554
1529;130;0.1;2557
1530;110;0.1;2558
1531;220;0.1;2559
1532;65;0.1;2560
1533;130;0.1;2561
1534;360;0.1;2562
1535;180;0.1;2564
1536;250;0.1;2565
1537;225;0.1;2567
1538;150;0.1;2570
1539;180;0.1;2572
1540;180;0.1;2574
1541;65;0.1;2575
1542;330;0.1;2579
1543;220;0.1;2582
1544;65;0.1;2585
1545;540;0.1;2587
1546;75;0.1;2591
1547;130;0.1;2592
1548;90;0.1;2594
1549;180;0.1;2596
1550;75;0.1;2597
1551;180;0.1;2599
1552;330;0.1;2600
1553;220;0.1;2605
1554;195;0.1;2607
1555;225;0.1;2608
1556;330;0.1;2609
1557;150;0.1;2610
1558;330;0.1;2612
1559;75;0.1;2613
1560;110;0.1;2615
1561;65;0.1;2617
1562;180;0.1;2621
1563;180;0.1;2622
1564;180;0.1;2624
1565;75;0.1;2626
1566;90;0.1;2627
1567;90;0.1;2628
1568;360;0.1;2629
1569;225;0.1;2630
1570;65;0.1;2632
1571;225;0.1;2633
1572;65;0.1;2634
1573;180;0.1;2638
1574;330;0.1;2642
1575;65;0.1;2643
1576;75;0.1;2644
1577;220;0.1;2645
1578;225;0.1;2646
1579;195;0.1;2649
1580;90;0.1;2651
1581;330;0.1;2652
1582;220;0.1;2654
1583;75;0.1;2655
1584;360;0.1;2656
1585;65;0.1;2657
1586;90;0.1;2659
1587;500;0.1;2660
1588;220;0.1;2661
1589;180;0.1;2662
1590;90;0.1;2665
1591;130;0.1;2666
1592;75;0.1;2667
1593;65;0.1;2668
1594;110;0.1;2670
1595;110;0.1;2672
1596;110;0.1;2673
1597;90;0.1;2674
1598;270;0.1;2676
1599;220;0.1;2678
1600;180;0.1;2680
1601;130;0.1;2681
1602;75;0.1;2682
1603;220;0.1;2683
1604;270;0.1;2685
1605;130;0.1;2687
1606;540;0.1;2688
1607;150;0.1;2689
1608;220;0.1;2691
1609;110;0.1;2694
1610;90;0.1;2695
1611;180;0.1;2696
1612;250;0.1;2700
1613;110;0.1;2702
1614;130;0.1;2703
1615;150;0.1;2704
1616;75;0.1;2706
1617;110;0.1;2709
1618;180;0.1;2710
1619;225;0.1;2713
1620;195;0.1;2716
1621;75;0.1;2717
1622;130;0.1;2719
1623;90;0.1;2720
1624;65;0.1;2721
1625;195;0.1;2722
1626;90;0.1;2724
1627;220;0.1;2726
1628;65;0.1;2727
1629;225;0.1;2728
1630;130;0.1;2729
1631;180;0.1;2730
1632;75;0.1;2731
1633;75;0.1;2733
1634;75;0.1;2735
1635;250;0.1;2739
1636;540;0.1;2740
1637;150;0.1;2743
1638;150;0.1;2747
1639;180;0.1;2748
1640;500;0.1;2749
1641;90;0.1;2752
1642;180;0.1;2755
1643;130;0.1;2756
1644;110;0.1;2757
1645;75;0.1;2760
1646;330;0.1;2762
1647;75;0.1;2763
1648;110;0.1;2765
1649;150;0.1;2769
1650;65;0.1;2770
1651;180;0.1;2771
1653;130;0.1;2773
1654;75;0.1;2774
1655;270;0.1;2775
1656;180;0.1;2779
1657;75;0.1;2780
1658;750;0.1;2781
1659;130;0.1;2782
1660;130;0.1;2785
1661;90;0.1;2786
1662;500;0.1;2787
1663;150;0.1;2788
1664;75;0.1;2789
1665;220;0.1;2792
1666;330;0.1;2793
1667;220;0.1;2794
1668;75;0.1;2797
1669;225;0.1;2800
1670;150;0.1;2806
1671;500;0.1;2812
1672;225;0.1;2814
1673;220;0.1;2815
1674;270;0.1;2816
1675;220;0.1;2817
1676;110;0.1;2818
1677;180;0.1;2819
1678;500;0.1;2820
1679;150;0.1;2823
1680;180;0.1;2824
1681;90;0.1;2827
1682;195;0.1;2828
1683;65;0.1;2831
1684;150;0.1;2832
1685;220;0.1;2833
1686;90;0.1;2835
1687;180;0.1;2837
1688;75;0.1;2838
1689;220;0.1;2839
1690;90;0.1;2840
1691;110;0.1;2841
1692;75;0.1;2843
1693;750;0.1;2844
1694;110;0.1;2846
1695;225;0.1;2847
1696;90;0.1;2848
1697;220;0.1;2849
1698;110;0.1;2850
1699;130;0.1;2852
1700;500;0.1;2854
1701;110;0.1;2857
1702;75;0.1;2858
1703;330;0.1;2863
1704;75;0.1;2865
1705;150;0.1;2869
1706;195;0.1;2873
1707;90;0.1;2878
1708;270;0.1;2880
1709;90;0.1;2881
1710;750;0.1;2882
1711;65;0.1;2884
1712;110;0.1;2885
1713;750;0.1;2886
1714;180;0.1;2887
1715;65;0.1;2889
1716;180;0.1;2891
1717;540;0.1;2893
1718;360;0.1;2894
1719;270;0.1;2896
1720;90;0.1;2897
1721;75;0.1;2898
1722;225;0.1;2904
1723;360;0.1;2905
1724;130;0.1;2907
1725;150;0.1;2908
1726;180;0.1;2909
1727;90;0.1;2910
1728;150;0.1;2911
1729;180;0.1;2912
1730;225;0.1;2913
1731;220;0.1;2914
1732;750;0.1;2915
1733;360;0.1;2916
1734;75;0.1;2917
1735;150;0.1;2920
1736;330;0.1;2922
1737;110;0.1;2923
1738;195;0.1;2924
1739;180;0.1;2927
1740;500;0.1;2928
1741;180;0.1;2929
1742;90;0.1;2930
1743;75;0.1;2931
1744;250;0.1;2934
1745;540;0.1;2936
1746;195;0.1;2937
1747;110;0.1;2938
1748;180;0.1;2940
1749;180;0.1;2941
1750;750;0.1;2943
1751;75;0.1;2944
1752;75;0.1;2945
1753;90;0.1;2946
1754;180;0.1;2949
1755;90;0.1;2950
1756;220;0.1;2951
1757;65;0.1;2953
1758;75;0.1;2954
1759;65;0.1;2961
1760;195;0.1;2962
1761;90;0.1;2963
1762;750;0.1;2964
1763;225;0.1;2965
1764;270;0.1;2968
1765;130;0.1;2970
1766;65;0.1;2975
1767;75;0.1;2976
1768;750;0.1;2977
1769;225;0.1;2979
1770;180;0.1;2980
1771;330;0.1;2981
1772;180;0.1;2984
1773;90;0.1;2985
1774;330;0.1;2988
1775;225;0.1;2991
1776;110;0.1;2992
1777;225;0.1;2993
1778;75;0.1;2996
1779;65;0.1;2998
1780;75;0.1;3001
1781;90;0.1;3004
1782;180;0.1;3005
1783;540;0.1;3007
1784;75;0.1;3008
1785;180;0.1;3009
1786;195;0.1;3010
1787;65;0.1;3013
1788;195;0.1;3014
1789;540;0.1;3017
1790;130;0.1;3018
1791;180;0.1;3019
1792;540;0.1;3020
1793;90;0.1;3021
1794;75;0.1;3022
1795;270;0.1;3023
1796;330;0.1;3024
1797;75;0.1;3027
1798;150;0.1;3028
1799;65;0.1;3029
1800;75;0.1;3030
1801;180;0.1;3036
1802;65;0.1;3037
1803;225;0.1;3039
1804;180;0.1;3041
1805;110;0.1;3042
1806;130;0.1;3043
1807;75;0.1;3044
1808;75;0.1;3045
1809;540;0.1;3046
1810;180;0.1;3049
1811;75;0.1;3050
1812;110;0.1;3052
1813;500;0.1;3053
1814;90;0.1;3054
1815;150;0.1;3055
1816;65;0.1;3056
1817;180;0.1;3057
1818;150;0.1;3059
1819;65;0.1;3061
1820;150;0.1;3064
1821;750;0.1;3066
1822;110;0.1;3071
1823;65;0.1;3072
1824;90;0.1;3074
1825;150;0.1;3076
1826;75;0.1;3077
1827;150;0.1;3079
1828;150;0.1;3080
1829;75;0.1;3081
1830;150;0.1;3082
1831;250;0.1;3083
1832;75;0.1;3084
1833;225;0.1;3086
1834;220;0.1;3087
1835;180;0.1;3089
1836;330;0.1;3090
1837;250;0.1;3092
1838;90;0.1;3093
1839;540;0.1;3096
1840;90;0.1;3099
1841;330;0.1;3101
1842;65;0.1;3102
1843;540;0.1;3104
1844;180;0.1;3107
1845;220;0.1;3108
1846;75;0.1;3110
1847;180;0.1;3115
1848;330;0.1;3116
1849;150;0.1;3117
1850;330;0.1;3119
1851;110;0.1;3121
1852;220;0.1;3122
1853;270;0.1;3123
1854;65;0.1;3124
1855;110;0.1;3126
1856;75;0.1;3127
1857;220;0.1;3130
1858;360;0.1;3133
1859;225;0.1;3135
1860;90;0.1;3137
1861;90;0.1;3138
1862;150;0.1;3140
1863;90;0.1;3142
1864;750;0.1;3143
1865;90;0.1;3146
1866;130;0.1;3148
1867;130;0.1;3149
