"ID_CHAMBRE_RESA","ARRIVEE","DEPART","CHAMBRE","RESERVATION"
16908,03/01/2019,04/01/2019,30,6468
9513,04/01/2019,06/01/2019,30,15698
10992,06/01/2019,07/01/2019,30,19248
9078,07/01/2019,08/01/2019,30,2565
14559,08/01/2019,09/01/2019,30,19597
15864,09/01/2019,10/01/2019,30,1239
813,10/01/2019,11/01/2019,30,4856
1857,12/01/2019,14/01/2019,30,14946
10818,19/01/2019,21/01/2019,30,2749
12819,21/01/2019,23/01/2019,30,10881
7860,23/01/2019,25/01/2019,30,10359
30,23/01/2019,26/01/2019,30,16154
17865,26/01/2019,27/01/2019,30,12520
4380,27/01/2019,29/01/2019,30,16594
13254,29/01/2019,30/01/2019,30,10916
14820,30/01/2019,02/02/2019,30,3143
14646,05/02/2019,06/02/2019,30,17611
6816,07/02/2019,08/02/2019,30,10249
16386,11/02/2019,12/02/2019,30,11237
16734,12/02/2019,13/02/2019,30,12410
2988,13/02/2019,14/02/2019,30,16452
18909,15/02/2019,16/02/2019,30,11500
8556,18/02/2019,19/02/2019,30,19008
19083,19/02/2019,22/02/2019,30,1546
726,22/02/2019,23/02/2019,30,1733
11427,23/02/2019,26/02/2019,30,19295
5511,27/02/2019,02/03/2019,30,15334
14298,02/03/2019,03/03/2019,30,9021
13950,04/03/2019,05/03/2019,30,12139
5250,07/03/2019,08/03/2019,30,15312
18213,09/03/2019,10/03/2019,30,14555
12297,15/03/2019,16/03/2019,30,15975
11340,16/03/2019,18/03/2019,30,7909
7947,18/03/2019,21/03/2019,30,7587
1944,22/03/2019,25/03/2019,30,3852
1422,26/03/2019,29/03/2019,30,3805
6207,29/03/2019,30/03/2019,30,5403
7251,01/04/2019,02/04/2019,30,5517
4032,04/04/2019,06/04/2019,30,54
11253,06/04/2019,08/04/2019,30,2787
1683,08/04/2019,10/04/2019,30,3826
16473,18/04/2019,19/04/2019,30,1299
2292,19/04/2019,20/04/2019,30,16390
8208,20/04/2019,22/04/2019,30,473
4119,22/04/2019,23/04/2019,30,16572
6729,24/04/2019,26/04/2019,30,13449
15690,26/04/2019,27/04/2019,30,4345
291,27/04/2019,28/04/2019,30,1688
19431,28/04/2019,29/04/2019,30,11552
3249,29/04/2019,30/04/2019,30,5095
7338,03/05/2019,04/05/2019,30,8300
2379,05/05/2019,06/05/2019,30,7002
15081,06/05/2019,09/05/2019,30,11109
11775,14/05/2019,15/05/2019,30,5950
14211,16/05/2019,17/05/2019,30,12161
13602,17/05/2019,19/05/2019,30,4138
14124,19/05/2019,20/05/2019,30,12155
1596,22/05/2019,23/05/2019,30,6928
9687,25/05/2019,28/05/2019,30,19127
17343,28/05/2019,30/05/2019,30,14472
19605,30/05/2019,01/06/2019,30,12700
15516,04/06/2019,05/06/2019,30,3207
11166,05/06/2019,07/06/2019,30,17270
4293,07/06/2019,08/06/2019,30,7212
12732,10/06/2019,11/06/2019,30,17421
9861,12/06/2019,13/06/2019,30,7765
17604,19/06/2019,21/06/2019,30,3408
1509,22/06/2019,23/06/2019,30,11741
13080,23/06/2019,25/06/2019,30,14053
204,25/06/2019,27/06/2019,30,16172
15777,28/06/2019,29/06/2019,30,1229
9426,29/06/2019,30/06/2019,30,594
11601,30/06/2019,02/07/2019,30,13911
6120,05/07/2019,06/07/2019,30,7391
16995,08/07/2019,10/07/2019,30,19864
18648,11/07/2019,12/07/2019,30,3509
5946,13/07/2019,14/07/2019,30,15373
9600,15/07/2019,16/07/2019,30,19116
5598,18/07/2019,21/07/2019,30,15341
12471,28/07/2019,30/07/2019,30,4020
10296,01/08/2019,02/08/2019,30,10630
6468,02/08/2019,04/08/2019,30,2304
8034,04/08/2019,05/08/2019,30,18953
16125,06/08/2019,08/08/2019,30,9210
5424,10/08/2019,12/08/2019,30,7321
8991,13/08/2019,14/08/2019,30,17050
3075,14/08/2019,15/08/2019,30,3957
9165,15/08/2019,16/08/2019,30,572
16560,16/08/2019,19/08/2019,30,14390
18735,19/08/2019,21/08/2019,30,6651
2640,19/08/2019,20/08/2019,30,16423
12906,23/08/2019,25/08/2019,30,14032
11079,03/09/2019,04/09/2019,30,771
2901,04/09/2019,07/09/2019,30,5058
3684,07/09/2019,08/09/2019,30,13141
12036,07/09/2019,10/09/2019,30,17354
16212,10/09/2019,11/09/2019,30,4395
12123,10/09/2019,13/09/2019,30,7985
987,16/09/2019,18/09/2019,30,3762
15255,18/09/2019,19/09/2019,30,9126
7077,19/09/2019,20/09/2019,30,2365
5685,22/09/2019,23/09/2019,30,8136
17778,26/09/2019,27/09/2019,30,11384
5859,03/10/2019,05/10/2019,30,2244
19170,06/10/2019,09/10/2019,30,3553
4641,09/10/2019,10/10/2019,30,5251
16821,11/10/2019,13/10/2019,30,11284
6294,14/10/2019,15/10/2019,30,290
4902,16/10/2019,18/10/2019,30,2145
378,23/10/2019,24/10/2019,30,9625
3771,25/10/2019,26/10/2019,30,5145
15168,26/10/2019,29/10/2019,30,14262
19953,29/10/2019,30/10/2019,30,12747
7512,01/11/2019,04/11/2019,30,2408
16647,04/11/2019,06/11/2019,30,4441
13515,13/11/2019,14/11/2019,30,6129
13167,18/11/2019,19/11/2019,30,6089
3423,20/11/2019,23/11/2019,30,7111
8295,26/11/2019,28/11/2019,30,16979
10905,28/11/2019,30/11/2019,30,8678
14994,01/12/2019,03/12/2019,30,19649
465,03/12/2019,05/12/2019,30,11636
8817,05/12/2019,06/12/2019,30,15631
14472,07/12/2019,10/12/2019,30,14189
18387,10/12/2019,13/12/2019,30,4614
10557,13/12/2019,15/12/2019,30,10648
6903,13/12/2019,14/12/2019,30,351
6381,14/12/2019,16/12/2019,30,5419
5337,16/12/2019,19/12/2019,30,8095
13428,19/12/2019,21/12/2019,30,12088
1248,21/12/2019,22/12/2019,30,9709
6642,22/12/2019,23/12/2019,30,16809
1074,23/12/2019,25/12/2019,30,18260
900,25/12/2019,26/12/2019,30,9674
3336,28/12/2019,31/12/2019,30,7103
5163,31/12/2019,01/01/2020,30,16664
4815,31/12/2019,02/01/2020,30,10042
14212,01/01/2019,03/01/2019,31,11011
18736,03/01/2019,05/01/2019,31,12607
13168,05/01/2019,07/01/2019,31,19466
4816,07/01/2019,09/01/2019,31,2136
18388,07/01/2019,08/01/2019,31,1480
6295,08/01/2019,09/01/2019,31,13404
13864,09/01/2019,10/01/2019,31,3056
16996,10/01/2019,12/01/2019,31,12434
2119,12/01/2019,13/01/2019,31,16370
15952,13/01/2019,14/01/2019,31,19755
6643,15/01/2019,16/01/2019,31,18807
11602,16/01/2019,18/01/2019,31,5935
8296,19/01/2019,21/01/2019,31,10411
10819,21/01/2019,22/01/2019,31,7862
8992,21/01/2019,23/01/2019,31,7683
3772,23/01/2019,25/01/2019,31,16537
6556,26/01/2019,29/01/2019,31,15429
11863,29/01/2019,31/01/2019,31,8780
19954,01/02/2019,03/02/2019,31,14748
10210,03/02/2019,05/02/2019,31,2681
5686,05/02/2019,06/02/2019,31,10137
2989,06/02/2019,08/02/2019,31,18450
5773,08/02/2019,09/02/2019,31,15356
15691,09/02/2019,10/02/2019,31,19730
6469,11/02/2019,12/02/2019,31,15421
5338,12/02/2019,13/02/2019,31,18675
9949,13/02/2019,14/02/2019,31,17151
9427,14/02/2019,15/02/2019,31,17094
4642,20/02/2019,23/02/2019,31,2118
10297,24/02/2019,25/02/2019,31,7806
8905,25/02/2019,26/02/2019,31,8482
13951,28/02/2019,01/03/2019,31,3061
7861,01/03/2019,03/03/2019,31,16937
18910,04/03/2019,07/03/2019,31,1532
14821,07/03/2019,08/03/2019,31,9079
640,08/03/2019,09/03/2019,31,1724
12037,09/03/2019,12/03/2019,31,7975
205,12/03/2019,13/03/2019,31,18170
16474,15/03/2019,17/03/2019,31,19816
4207,17/03/2019,18/03/2019,31,18577
17257,19/03/2019,21/03/2019,31,1373
4627,01/08/2019,02/08/2019,16,5250
8020,02/08/2019,05/08/2019,16,8376
14197,05/08/2019,06/08/2019,16,1083
3061,10/08/2019,12/08/2019,16,15084
625,12/08/2019,15/08/2019,16,16211
19678,15/08/2019,17/08/2019,16,6738
3409,20/08/2019,21/08/2019,16,3995
3148,21/08/2019,23/08/2019,16,18468
15589,23/08/2019,25/08/2019,16,11153
1495,23/08/2019,24/08/2019,16,12899
16981,28/08/2019,29/08/2019,16,12431
15328,03/09/2019,04/09/2019,16,19690
5062,08/09/2019,09/09/2019,16,8069
15502,09/09/2019,11/09/2019,16,17713
10195,12/09/2019,13/09/2019,16,13766
16372,20/09/2019,23/09/2019,16,4412
6802,23/09/2019,25/09/2019,16,15457
12718,26/09/2019,29/09/2019,16,2943
10369,29/09/2019,02/10/2019,16,10634
19417,02/10/2019,04/10/2019,16,18117
8716,05/10/2019,08/10/2019,16,7658
6715,08/10/2019,09/10/2019,16,5455
7237,09/10/2019,10/10/2019,16,15494
16459,10/10/2019,11/10/2019,16,19814
18547,11/10/2019,14/10/2019,16,6630
1669,16/10/2019,17/10/2019,16,16329
7672,17/10/2019,20/10/2019,16,16912
1060,20/10/2019,21/10/2019,16,11690
19939,27/10/2019,29/10/2019,16,12746
17242,31/10/2019,01/11/2019,16,6502
10717,02/11/2019,03/11/2019,16,2739
799,04/11/2019,05/11/2019,16,14841
2278,05/11/2019,07/11/2019,16,12989
18982,07/11/2019,09/11/2019,16,18072
16807,12/11/2019,15/11/2019,16,11282
18808,17/11/2019,18/11/2019,16,1523
8629,18/11/2019,19/11/2019,16,19014
12022,21/11/2019,23/11/2019,16,7973
11413,26/11/2019,27/11/2019,16,805
11935,30/11/2019,03/12/2019,16,8789
16285,03/12/2019,05/12/2019,16,17795
5497,06/12/2019,07/12/2019,16,2212
3757,08/12/2019,11/12/2019,16,15152
18286,12/12/2019,14/12/2019,16,3472
18025,14/12/2019,15/12/2019,16,11411
16633,16/12/2019,18/12/2019,16,11259
19243,18/12/2019,20/12/2019,16,3561
4366,21/12/2019,22/12/2019,16,8003
14023,23/12/2019,26/12/2019,16,3066
12805,27/12/2019,28/12/2019,16,12018
103,29/12/2019,30/12/2019,16,1671
8455,30/12/2019,01/01/2020,16,16995
19852,01/01/2020,03/01/2020,16,12732
1148,01/01/2019,02/01/2019,17,16273
7151,02/01/2019,04/01/2019,17,8282
2540,04/01/2019,06/01/2019,17,1911
17678,04/01/2019,05/01/2019,17,11373
9152,05/01/2019,07/01/2019,17,10507
14807,07/01/2019,08/01/2019,17,6259
13067,07/01/2019,09/01/2019,17,4078
2018,09/01/2019,12/01/2019,17,14961
11414,12/01/2019,13/01/2019,17,19292
3497,13/01/2019,14/01/2019,17,15123
8804,14/01/2019,15/01/2019,17,13629
3062,15/01/2019,17/01/2019,17,16464
1844,20/01/2019,22/01/2019,17,4950
1583,23/01/2019,26/01/2019,17,12909
16721,27/01/2019,28/01/2019,17,11268
7412,28/01/2019,30/01/2019,17,18883
16112,31/01/2019,03/02/2019,17,1265
6977,03/02/2019,05/02/2019,17,5487
10979,07/02/2019,08/02/2019,17,8685
13328,08/02/2019,09/02/2019,17,2998
4454,09/02/2019,11/02/2019,17,15221
6020,11/02/2019,13/02/2019,17,260
5063,13/02/2019,15/02/2019,17,10070
8978,13/02/2019,16/02/2019,17,8490
4280,18/02/2019,20/02/2019,17,7209
13589,20/02/2019,21/02/2019,17,6137
12023,21/02/2019,23/02/2019,17,5973
7586,23/02/2019,25/02/2019,17,18902
14894,25/02/2019,27/02/2019,17,3149
18722,28/02/2019,03/03/2019,17,3514
8543,03/03/2019,04/03/2019,17,7640
6803,04/03/2019,05/03/2019,17,13457
9935,05/03/2019,07/03/2019,17,10594
7847,10/03/2019,13/03/2019,17,5577
10283,13/03/2019,15/03/2019,17,688
15851,15/03/2019,16/03/2019,17,9179
10805,16/03/2019,19/03/2019,17,13825
2105,19/03/2019,21/03/2019,17,12971
5237,21/03/2019,23/03/2019,17,18666
104,24/03/2019,26/03/2019,17,9595
18374,26/03/2019,28/03/2019,17,6614
4976,26/03/2019,27/03/2019,17,8062
5672,28/03/2019,31/03/2019,17,10135
8282,31/03/2019,01/04/2019,17,15585
7760,02/04/2019,04/04/2019,17,18921
5933,04/04/2019,05/04/2019,17,7373
17504,04/04/2019,06/04/2019,17,4526
2801,10/04/2019,13/04/2019,17,9861
16025,13/04/2019,16/04/2019,17,19764
13676,17/04/2019,19/04/2019,17,8958
6455,19/04/2019,20/04/2019,17,18786
9848,20/04/2019,21/04/2019,17,5762
19940,21/04/2019,22/04/2019,17,6774
18287,22/04/2019,23/04/2019,17,11432
12719,28/04/2019,01/05/2019,17,19418
10457,03/05/2019,05/05/2019,17,17194
11762,05/05/2019,07/05/2019,17,8769
5585,09/05/2019,12/05/2019,17,10127
3584,12/05/2019,14/05/2019,17,15131
6281,15/05/2019,18/05/2019,17,7409
800,19/05/2019,20/05/2019,17,11666
9326,20/05/2019,21/05/2019,17,19079
6107,24/05/2019,26/05/2019,17,13387
14459,26/05/2019,28/05/2019,17,4229
11501,28/05/2019,31/05/2019,17,8740
278,31/05/2019,01/06/2019,17,12778
6194,31/05/2019,02/06/2019,17,13396
452,03/06/2019,06/06/2019,17,11634
16808,06/06/2019,07/06/2019,17,12419
3410,07/06/2019,08/06/2019,17,11921
6716,10/06/2019,11/06/2019,17,13448
9674,14/06/2019,16/06/2019,17,7746
13241,16/06/2019,18/06/2019,17,12070
17156,22/06/2019,23/06/2019,17,1363
5759,23/06/2019,24/06/2019,17,10147
18983,24/06/2019,26/06/2019,17,16075
19853,28/06/2019,30/06/2019,17,1632
9239,05/07/2019,07/07/2019,17,13677
3671,07/07/2019,09/07/2019,17,16527
18809,09/07/2019,10/07/2019,17,16054
13415,12/07/2019,15/07/2019,17,4117
2714,18/07/2019,20/07/2019,17,5037
7673,20/07/2019,21/07/2019,17,13534
6890,20/07/2019,22/07/2019,17,7476
13154,30/07/2019,02/08/2019,17,8908
12110,06/08/2019,07/08/2019,17,10810
365,07/08/2019,09/08/2019,17,3697
11153,09/08/2019,12/08/2019,17,8705
3932,15/08/2019,18/08/2019,17,7163
7238,18/08/2019,21/08/2019,17,13494
18113,21/08/2019,22/08/2019,17,11421
7499,22/08/2019,24/08/2019,17,15518
15155,24/08/2019,26/08/2019,17,17671
14372,26/08/2019,27/08/2019,17,9028
8717,27/08/2019,29/08/2019,17,10461
17243,29/08/2019,30/08/2019,17,9325
4019,31/08/2019,03/09/2019,17,13183
4367,04/09/2019,07/09/2019,17,90
1757,07/09/2019,08/09/2019,17,18335
8891,09/09/2019,10/09/2019,17,17042
3323,12/09/2019,14/09/2019,17,18486
13937,14/09/2019,15/09/2019,17,1059
9500,18/09/2019,19/09/2019,17,602
13850,20/09/2019,22/09/2019,17,10976
18200,23/09/2019,24/09/2019,17,17990
2627,25/09/2019,28/09/2019,17,9848
12458,30/09/2019,01/10/2019,17,19390
14720,01/10/2019,04/10/2019,17,11071
1670,04/10/2019,05/10/2019,17,12922
11240,06/10/2019,08/10/2019,17,2785
3845,08/10/2019,10/10/2019,17,16546
1061,13/10/2019,16/10/2019,17,9690
7325,19/10/2019,22/10/2019,17,15502
16373,22/10/2019,23/10/2019,17,19803
17852,25/10/2019,28/10/2019,17,9392
8108,28/10/2019,30/10/2019,17,5604
15329,30/10/2019,01/11/2019,17,17693
887,01/11/2019,02/11/2019,17,9672
974,02/11/2019,03/11/2019,17,6871
12632,03/11/2019,04/11/2019,17,8863
11849,05/11/2019,07/11/2019,17,13936
13502,09/11/2019,12/11/2019,17,1018
11066,12/11/2019,14/11/2019,17,13853
8456,15/11/2019,17/11/2019,17,18993
11936,17/11/2019,18/11/2019,17,13944
15242,20/11/2019,21/11/2019,17,6299
17417,22/11/2019,25/11/2019,17,14477
8195,25/11/2019,26/11/2019,17,13577
4193,28/11/2019,30/11/2019,17,70
18548,01/12/2019,02/12/2019,17,4630
15416,04/12/2019,07/12/2019,17,11137
16634,07/12/2019,08/12/2019,17,1315
15677,08/12/2019,09/12/2019,17,17732
4802,14/12/2019,17/12/2019,17,7267
19505,17/12/2019,19/12/2019,17,4719
8630,20/12/2019,21/12/2019,17,17017
11675,23/12/2019,26/12/2019,17,2828
17,26/12/2019,27/12/2019,17,11586
2366,27/12/2019,30/12/2019,17,13001
15243,01/01/2019,03/01/2019,18,9125
10371,03/01/2019,04/01/2019,18,698
2802,04/01/2019,05/01/2019,18,11862
9153,05/01/2019,06/01/2019,18,17065
3237,06/01/2019,09/01/2019,18,11903
2454,09/01/2019,10/01/2019,18,16407
19332,10/01/2019,11/01/2019,18,18107
10893,11/01/2019,13/01/2019,18,5870
13416,16/01/2019,17/01/2019,18,17495
16461,17/01/2019,20/01/2019,18,12380
19854,20/01/2019,22/01/2019,18,14733
14982,23/01/2019,26/01/2019,18,11098
453,26/01/2019,28/01/2019,18,9634
2976,28/01/2019,29/01/2019,18,9880
1758,29/01/2019,01/02/2019,18,4940
8544,02/02/2019,03/02/2019,18,13607
627,04/02/2019,05/02/2019,18,6842
6891,07/02/2019,08/02/2019,18,5476
3672,08/02/2019,09/02/2019,18,2022
5325,09/02/2019,10/02/2019,18,5312
11154,11/02/2019,12/02/2019,18,2780
9066,12/02/2019,13/02/2019,18,562
